2026-09-13 15:43:59,725 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c19_normal_20251002_banking_concentrated qaoa seeds=10/10 wall=215.4s unique=1254 mass_opt={'qubo_optimum': 0.16318359375, 'true_grid_optimum': 0.0005859375}
2026-09-13 15:44:58,256 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c19_normal_20251002_banking_concentrated qaoa_transfer seeds=10/10 wall=58.3s unique=220 mass_opt={'qubo_optimum': 0.27880859375, 'true_grid_optimum': 0.0}
2026-09-13 15:45:04,327 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c20_volatile_20250305_high_volatility
2026-09-13 15:48:56,290 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c20_volatile_20250305_high_volatility qaoa seeds=10/10 wall=171.3s unique=2100 mass_opt={'qubo_optimum': 0.08974609375, 'true_grid_optimum': 0.02978515625}
2026-09-13 15:49:55,398 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c20_volatile_20250305_high_volatility qaoa_transfer seeds=10/10 wall=58.7s unique=511 mass_opt={'qubo_optimum': 0.18291015625, 'true_grid_optimum': 0.04970703125}
2026-09-13 15:50:02,287 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c21_normal_20260114_high_cash
2026-09-13 15:54:23,797 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c21_normal_20260114_high_cash qaoa seeds=10/10 wall=200.7s unique=1678 mass_opt={'qubo_optimum': 0.142578125, 'true_grid_optimum': 0.142578125}
2026-09-13 15:55:22,621 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c21_normal_20260114_high_cash qaoa_transfer seeds=10/10 wall=58.6s unique=233 mass_opt={'qubo_optimum': 0.26875, 'true_grid_optimum': 0.26875}
2026-09-13 15:55:29,281 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c22_volatile_20250626_do_not_sell
2026-09-13 15:59:48,853 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c22_volatile_20250626_do_not_sell qaoa seeds=10/10 wall=198.1s unique=1627 mass_opt={'qubo_optimum': 0.1228515625, 'true_grid_optimum': 0.1228515625}
2026-09-13 16:00:48,093 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c22_volatile_20250626_do_not_sell qaoa_transfer seeds=10/10 wall=58.9s unique=442 mass_opt={'qubo_optimum': 0.22841796875, 'true_grid_optimum': 0.22841796875}
2026-09-13 16:00:55,037 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c23_normal_20260211_liquidity_constrained
2026-09-13 17:18:50,493 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c23_normal_20260211_liquidity_constrained
2026-09-13 17:23:00,962 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c23_normal_20260211_liquidity_constrained qaoa seeds=10/10 wall=183.5s unique=1984 mass_opt={'qubo_optimum': 0.1095703125, 'true_grid_optimum': 0.1095703125}
2026-09-13 17:24:00,102 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c23_normal_20260211_liquidity_constrained qaoa_transfer seeds=10/10 wall=58.9s unique=417 mass_opt={'qubo_optimum': 0.2248046875, 'true_grid_optimum': 0.2248046875}
2026-09-13 17:24:06,737 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c24_volatile_20251117_diversified
2026-09-13 17:28:41,475 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c24_volatile_20251117_diversified qaoa seeds=10/10 wall=211.7s unique=975 mass_opt={'qubo_optimum': 0.18447265625, 'true_grid_optimum': 0.18447265625}
2026-09-13 17:29:40,166 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c24_volatile_20251117_diversified qaoa_transfer seeds=10/10 wall=58.4s unique=227 mass_opt={'qubo_optimum': 0.26845703125, 'true_grid_optimum': 0.26845703125}
2026-09-13 17:29:46,771 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c25_normal_20260622_banking_concentrated
2026-09-13 17:34:07,229 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c25_normal_20260622_banking_concentrated qaoa seeds=10/10 wall=198.2s unique=1426 mass_opt={'qubo_optimum': 0.1689453125, 'true_grid_optimum': 0.0005859375}
2026-09-13 19:12:58,498 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c25_normal_20260622_banking_concentrated qaoa_transfer seeds=10/10 wall=67.4s unique=212 mass_opt={'qubo_optimum': 0.27470703125, 'true_grid_optimum': 0.0}
2026-09-13 19:13:04,715 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c26_volatile_20260309_high_volatility
2026-09-13 19:17:34,597 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c26_volatile_20260309_high_volatility qaoa seeds=10/10 wall=208.0s unique=1240 mass_opt={'qubo_optimum': 0.11787109375, 'true_grid_optimum': 0.00810546875}
2026-09-13 19:18:34,470 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c26_volatile_20260309_high_volatility qaoa_transfer seeds=10/10 wall=59.6s unique=516 mass_opt={'qubo_optimum': 0.22685546875, 'true_grid_optimum': 0.00859375}
2026-09-13 19:18:41,025 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c27_normal_20240222_do_not_sell
2026-09-13 19:46:37,748 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c27_normal_20240222_do_not_sell qaoa seeds=10/10 wall=183.0s unique=1424 mass_opt={'qubo_optimum': 0.0919921875, 'true_grid_optimum': 0.0919921875}
2026-09-13 19:47:36,821 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c27_normal_20240222_do_not_sell qaoa_transfer seeds=10/10 wall=58.8s unique=692 mass_opt={'qubo_optimum': 0.17900390625, 'true_grid_optimum': 0.17900390625}
2026-09-13 19:47:43,348 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c28_volatile_20260507_do_not_sell
2026-09-13 19:51:34,677 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c28_volatile_20260507_do_not_sell qaoa seeds=10/10 wall=173.1s unique=1777 mass_opt={'qubo_optimum': 0.096875, 'true_grid_optimum': 0.096875}
2026-09-13 19:52:34,240 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c28_volatile_20260507_do_not_sell qaoa_transfer seeds=10/10 wall=59.3s unique=646 mass_opt={'qubo_optimum': 0.18134765625, 'true_grid_optimum': 0.18134765625}
2026-09-13 19:52:41,016 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c29_normal_20240321_diversified
2026-09-13 19:57:11,833 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c29_normal_20240321_diversified qaoa seeds=10/10 wall=207.6s unique=733 mass_opt={'qubo_optimum': 0.17099609375, 'true_grid_optimum': 0.17099609375}
2026-09-13 19:58:10,160 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c29_normal_20240321_diversified qaoa_transfer seeds=10/10 wall=58.1s unique=242 mass_opt={'qubo_optimum': 0.27197265625, 'true_grid_optimum': 0.27197265625}
2026-09-13 19:58:16,604 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c30_volatile_20260720_diversified
2026-09-13 20:02:44,549 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c30_volatile_20260720_diversified qaoa seeds=10/10 wall=209.4s unique=870 mass_opt={'qubo_optimum': 0.15537109375, 'true_grid_optimum': 0.15537109375}
2026-09-13 20:03:42,871 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c30_volatile_20260720_diversified qaoa_transfer seeds=10/10 wall=58.1s unique=211 mass_opt={'qubo_optimum': 0.267578125, 'true_grid_optimum': 0.267578125}
